corpus	lang	featspertokens	analysesperlength	analysespertypes
UD_Afrikaans-AfriBooms/af_afribooms-ud-train.conllu	af	1.6561	0.1181	1.0663
UD_Ancient_Greek-Perseus/grc_perseus-ud-train.conllu	grc	2.7573	0.1455	1.0931
UD_Ancient_Greek-PROIEL/grc_proiel-ud-train.conllu	grc	3.5674	0.1313	1.0797
UD_Arabic-PADT/ar_padt-ud-train.conllu	ar	2.4156	0.2302	1.3571
UD_Armenian-ArmTDP/hy_armtdp-ud-train.conllu	hy	3.1901	0.1311	1.0254
UD_Basque-BDT/eu_bdt-ud-train.conllu	eu	2.2134	0.1350	1.1299
UD_Belarusian-HSE/be_hse-ud-train.conllu	be	3.0167	0.1472	1.1081
UD_Bulgarian-BTB/bg_btb-ud-train.conllu	bg	2.8772	0.1311	1.0450
UD_Buryat-BDT/bxr_bdt-ud-train.conllu	bxr	1.6536	0.1820	1.0000
UD_Catalan-AnCora/ca_ancora-ud-train.conllu	ca	2.0001	0.1405	1.0946
UD_Chinese-GSD/zh_gsd-ud-train.conllu	zh	1.0018	0.4386	1.0072
UD_Coptic-Scriptorium/cop_scriptorium-ud-train.conllu	cop	1.7234	0.1563	1.0606
UD_Croatian-SET/hr_set-ud-train.conllu	hr	2.8167	0.1548	1.2190
UD_Czech-CAC/cs_cac-ud-train.conllu	cs	3.6909	0.1585	1.3096
UD_Czech-CLTT/cs_cltt-ud-train.conllu	cs	3.5449	0.1268	1.2574
UD_Czech-FicTree/cs_fictree-ud-train.conllu	cs	3.4987	0.1610	1.1510
UD_Danish-DDT/da_ddt-ud-train.conllu	da	2.1953	0.1278	1.0535
UD_Dutch-Alpino/nl_alpino-ud-train.conllu	nl	1.4346	0.1227	1.0657
UD_Dutch-LassySmall/nl_lassysmall-ud-train.conllu	nl	1.3432	0.1244	1.0507
UD_English-EWT/en_ewt-ud-train.conllu	en	1.5486	0.1645	1.1911
UD_English-GUM/en_gum-ud-train.conllu	en	1.4744	0.1596	1.1145
UD_English-LinES/en_lines-ud-train.conllu	en	1.5663	0.1566	1.0966
UD_English-ParTUT/en_partut-ud-train.conllu	en	1.4701	0.1599	1.1541
UD_Estonian-EDT/et_edt-ud-train.conllu	et	2.3111	0.1165	1.0814
UD_Finnish-FTB/fi_ftb-ud-train.conllu	fi	2.6391	0.1108	1.0281
UD_Finnish-TDT/fi_tdt-ud-train.conllu	fi	2.6144	0.1047	1.0383
UD_French-FTB/fr_ftb-ud-train.conllu	fr	2.1316	0.1811	1.2288
UD_French-GSD/fr_gsd-ud-train.conllu	fr	2.0730	0.1390	1.0718
UD_French-ParTUT/fr_partut-ud-train.conllu	fr	2.0421	0.1477	1.1266
UD_French-Sequoia/fr_sequoia-ud-train.conllu	fr	1.9674	0.1381	1.0612
