corpus	lang	featspertokens	analysesperlength	analysespertypes
UD_Basque-BDT/eu_bdt-ud-train.conllu	eu	2.2134	0.1350	1.1299
UD_Turkish-IMST/tr_imst-ud-train.conllu	tr	3.1073	0.1309	1.0402
UD_Finnish-TDT/fi_tdt-ud-train.conllu	fi	2.6144	0.1047	1.0383
UD_North_Sami-Giella/sme_giella-ud-train.conllu	sme	2.3787	0.1307	1.0663
UD_Spanish-AnCora/es_ancora-ud-train.conllu	es	2.0439	0.1360	1.0808
UD_Russian-SynTagRus/ru_syntagrus-ud-train.conllu	ru	2.8313	0.1301	1.1687
UD_Vietnamese-VTB/vi_vtb-ud-train.conllu	vi	1.0000	0.1633	1.0030
UD_Chukchi-Amguema/ckt_amguema-ud-test.conllu	ckt	2.4675	0.1182	1.0798
UD_English-GUM/en_gum-ud-train.conllu	en	1.4744	0.1596	1.1145

