corpus	lang	featspertokens	featsperlength	analysespertypes
UD_Abaza-ATB/abq_atb-ud-test.conllu	abq	3.3686	0.1087	1.0255
UD_Afrikaans-AfriBooms/af_afribooms-ud-test.conllu	af	1.6105	0.1086	1.0371
UD_Akkadian-PISANDUB/akk_pisandub-ud-test.conllu	akk	1.0000	0.1203	1.0068
UD_Amharic-ATT/am_att-ud-test.conllu	am	1.0023	0.3165	1.0525
UD_Ancient_Greek-Perseus/grc_perseus-ud-test.conllu	grc	4.2750	0.1303	1.0349
UD_Ancient_Greek-PROIEL/grc_proiel-ud-test.conllu	grc	4.7059	0.1302	1.0172
UD_Arabic-PUD/ar_pud-ud-test.conllu	ar	5.3008	0.2251	1.2081
UD_Armenian-ArmTDP/hy_armtdp-ud-test.conllu	hy	4.6331	0.1246	1.0072
UD_Bambara-CRB/bm_crb-ud-test.conllu	bm	1.2015	0.1825	1.1773
UD_Basque-BDT/eu_bdt-ud-test.conllu	eu	2.5367	0.1267	1.0832
UD_Belarusian-HSE/be_hse-ud-test.conllu	be	4.6263	0.1327	1.0282
UD_Breton-KEB/br_keb-ud-test.conllu	br	2.1349	0.1507	1.0221
UD_Bulgarian-BTB/bg_btb-ud-test.conllu	bg	4.2307	0.1333	1.0170
UD_Buryat-BDT/bxr_bdt-ud-test.conllu	bxr	1.6164	0.1296	1.0065
UD_Cantonese-HK/yue_hk-ud-test.conllu	yue	1.0000	0.5549	1.0160
UD_Catalan-AnCora/ca_ancora-ud-test.conllu	ca	2.2477	0.1337	1.0432
UD_Chinese-PUD/zh_pud-ud-test.conllu	zh	1.0000	0.4850	1.0026
UD_Coptic-Scriptorium/cop_scriptorium-ud-test.conllu	cop	1.0000	0.2215	1.0730
UD_CreoleMartinique/gcf_dep-ud-test.conllu	gcf	1.0000	0.1429	1.0000
UD_Croatian-SET/hr_set-ud-test.conllu	hr	3.3519	0.1390	1.0938
UD_Czech-PUD/cs_pud-ud-test.conllu	cs	4.9113	0.1534	1.0731
UD_Danish-DDT/da_ddt-ud-test.conllu	da	3.1793	0.1257	1.0130
UD_Dutch-Alpino/nl_alpino-ud-test.conllu	nl	1.7651	0.1152	1.0283
UD_Dutch-LassySmall/nl_lassysmall-ud-test.conllu	nl	1.8290	0.1093	1.0093
UD_English-PUD/en_pud-ud-test.conllu	en	1.4440	0.1521	1.0779
UD_Erzya-JR/myv_jr-ud-test.conllu	myv	3.8196	0.1392	1.0591
UD_Estonian-EDT/et_edt-ud-test.conllu	et	2.6837	0.1173	1.0361
UD_Faroese-OFT/fo_oft-ud-test.conllu	fo	3.7371	0.1247	1.0297
UD_Finnish-PUD/fi_pud-ud-test.conllu	fi	3.2612	0.1022	1.0097
UD_French-PUD/fr_pud-ud-test.conllu	fr	2.3293	0.1359	1.0256
UD_Galician-CTG/gl_ctg-ud-test.conllu	gl	1.0000	0.1239	1.0071
UD_Galician-TreeGal/gl_treegal-ud-test.conllu	gl	2.5369	0.1321	1.0078
UD_German-PUD/de_pud-ud-test.conllu	de	3.5556	0.1333	1.1772
UD_Gothic-PROIEL/got_proiel-ud-test.conllu	got	4.7707	0.1351	1.0650
UD_Greek-GDT/el_gdt-ud-test.conllu	el	4.0353	0.1274	1.0671
UD_Hebrew-HTB/he_htb-ud-test.conllu	he	3.0390	0.2226	1.0805
UD_Hindi-PUD/hi_pud-ud-test.conllu	hi	3.6396	0.2285	1.3057
UD_Hungarian-Szeged/hu_szeged-ud-test.conllu	hu	4.6659	0.1122	1.0291
UD_Indonesian-PUD/id_pud-ud-test.conllu	id	1.0000	0.1397	1.0254
UD_Irish-IDT/ga_idt-ud-test.conllu	ga	3.0623	0.1520	1.0946
UD_Italian-PUD/it_pud-ud-test.conllu	it	2.5429	0.1335	1.0464
UD_Japanese-PUD/ja_pud-ud-test.conllu	ja	1.0000	0.3857	1.0037
UD_Kazakh-KTB/kk_ktb-ud-test.conllu	kk	2.5035	0.1381	1.0319
UD_Komi_Zyrian-IKDP/kpv_ikdp-ud-test.conllu	kpv	3.0702	0.1504	1.0362
UD_Komi_Zyrian-Lattice/kpv_lattice-ud-test.conllu	kpv	3.0208	0.1421	1.0239
UD_Korean-PUD/ko_pud-ud-test.conllu	ko	1.4739	0.3204	1.0145
UD_Kurmanji-MG/kmr_mg-ud-test.conllu	kmr	4.2067	0.1672	1.0793
UD_Latin-ITTB/la_ittb-ud-test.conllu	la	4.9910	0.1297	1.1089
UD_Latin-PROIEL/la_proiel-ud-test.conllu	la	4.4655	0.1335	1.0461
UD_Latvian-LVTB/lv_lvtb-ud-test.conllu	lv	4.3860	0.1352	1.0331
UD_Lithuanian-HSE/lt_hse-ud-test.conllu	lt	4.7628	0.1213	1.0086
UD_Maltese-MUDT/mt_mudt-ud-test.conllu	mt	1.0000	0.1442	1.0000
UD_Marathi-UFAL/mr_ufal-ud-test.conllu	mr	3.4126	0.2271	1.2000
UD_Naija-NSC/pcm_nsc-ud-test.conllu	pcm	1.0000	0.1800	1.0000
UD_North_Sami-Giella/sme_giella-ud-test.conllu	sme	2.8937	0.1096	1.0371
UD_Norwegian-Bokmaal/no_bokmaal-ud-test.conllu	no	2.6764	0.1214	1.0348
UD_Norwegian-Nynorsk/no_nynorsk-ud-test.conllu	no	2.6773	0.1221	1.0345
UD_Old_Church_Slavonic-PROIEL/cu_proiel-ud-test.conllu	cu	5.0775	0.1520	1.0627
UD_Old_French-SRCMF/fro_srcmf-ud-test.conllu	fro	1.0780	0.1654	1.0183
UD_Persian-Seraji/fa_seraji-ud-test.conllu	fa	1.3293	0.1789	1.0051
UD_Polish-SZ/pl_sz-ud-test.conllu	pl	4.2712	0.1372	1.0314
UD_Portuguese-PUD/pt_pud-ud-test.conllu	pt	2.5849	0.1323	1.0107
UD_Romanian-RRT/ro_rrt-ud-test.conllu	ro	3.6633	0.1317	1.0130
UD_Russian-PUD/ru_pud-ud-test.conllu	ru	4.1105	0.1311	1.0628
UD_Sanskrit-UFAL/sa_ufal-ud-test.conllu	sa	3.5257	0.1655	1.0501
UD_Serbian-SET/sr_set-ud-test.conllu	sr	2.9989	0.1403	1.0679
UD_Slovak-SNK/sk_snk-ud-test.conllu	sk	4.2105	0.1419	1.0518
UD_Slovenian-SSJ/sl_ssj-ud-test.conllu	sl	3.5555	0.1423	1.0422
UD_Slovenian-SST/sl_sst-ud-test.conllu	sl	4.1024	0.1559	1.0387
UD_Spanish-PUD/es_pud-ud-test.conllu	es	2.8295	0.1356	1.0389
UD_Swedish-PUD/sv_pud-ud-test.conllu	sv	3.7119	0.1185	1.0122
UD_Tagalog-TRG/tl_trg-ud-test.conllu	tl	1.3025	0.1472	1.0139
UD_Tamil-TTB/ta_ttb-ud-test.conllu	ta	4.4791	0.1129	1.0019
UD_Telugu-MTG/te_mtg-ud-test.conllu	te	1.0000	0.1426	1.0000
UD_Thai-PUD/th_pud-ud-test.conllu	th	1.0000	0.1645	1.0012
